Symbol,Security,Price,Chg,% Chg,High,Low,Volume,Mkt Cap,1 Year
4DX.AX,4DMEDICAL Ltd,$4.02,0.01,0.0025,$4.19,$3.85,"9,901,919",$2.4B,#ERROR!
ASK.AX,Abacus Storage King,$1.425,0.005,0.0035,$1.435,$1.395,"339,153",$1.9B,-4.68%
AGL.AX,AGL Energy Ltd,$9.69,0.11,0.0115,$9.70,$9.61,"2,183,602",$6.5B,-9.27%
AAI.AX,Alcoa Corporation,$89.62,2.14,0.0245,$89.78,$89.10,"121,546",$3.4B,1.3381
ALK.AX,Alkane Resources Ltd,$1.475,-0.025,-1.67%,$1.55,$1.465,"4,315,232",$2B,0.891
ALQ.AX,Als Ltd,$21.36,0.08,0.0038,$21.50,$21.12,"1,452,382",$11B,0.2419
AMC.AX,Amcor Plc,$53.47,0.14,0.0026,$53.47,$53.02,"815,014",$7.7B,-23.83%
AMP.AX,AMP Ltd,$1.465,0.005,0.0034,$1.475,$1.455,"5,570,849",$3.7B,0.1357
ALD.AX,Ampol Ltd,$35.82,0.65,0.0185,$36.04,$35.11,"785,797",$8.5B,0.505
ANN.AX,Ansell Ltd,$26.31,-0.11,-0.42%,$26.86,$26.25,"217,493",$3.7B,-14.85%
ANZ.AX,ANZ Group Holdings Ltd,$35.61,-1.04,-2.84%,$37.11,$35.61,"7,365,293",$107B,0.1974
APA.AX,APA Group,$10.50,0.16,0.0155,$10.50,$10.38,"2,432,923",$14B,0.2868
ARG.AX,Argo Investments Ltd,$8.75,0.05,0.0058,$8.75,$8.66,"657,223",$6.6B,0.0034
ALL.AX,Aristocrat Leisure Ltd,$47.75,0.47,0.0099,$48.13,$47.21,"839,583",$29B,-28.53%
ASX.AX,ASX Ltd,$61.58,0.78,0.0128,$61.58,$60.87,"442,692",$12B,-13.85%
ALX.AX,Atlas Arteria,$4.80,0,0,$4.80,$4.76,"4,143,919",$7B,-8.22%
AUB.AX,AUB Group Ltd,$25.50,-0.2,-0.78%,$25.98,$25.50,"905,081",$3.3B,-20.63%
AIA.AX,Auckland International Airport Ltd,$6.83,0.11,0.0164,$6.86,$6.74,"804,364",$12B,-2.57%
AZJ.AX,Aurizon Holdings Ltd,$4.27,0.1,0.024,$4.285,$4.18,"5,939,309",$7.2B,0.3774
ASB.AX,Austal Ltd,$4.21,0.09,0.0218,$4.25,$4.12,"970,087",$1.8B,-17.61%
AFI.AX,Australian Foundation Investment Company Ltd,$6.64,0.02,0.003,$6.65,$6.61,"649,825",$8.3B,-6.21%
